dteday,temp_degrees_c,windspeed,cnt
2011-01-01,8.175849000000001,0.160446,985
2011-01-02,9.083466,0.248539,801
2011-01-03,1.229108,0.248309,1349
2011-01-04,1.4000000000000004,0.160296,1562
2011-01-05,2.6669790000000013,0.1869,1600
2011-01-06,1.6043559999999992,0.0895652,1606
2011-01-07,1.236534000000001,0.168726,1510
2011-01-08,-0.2449999999999992,0.266804,959
2011-01-09,-1.4983490000000008,0.36195,822
2011-01-10,-0.9108490000000008,0.223267,1321
2011-01-11,-0.05272299999999941,0.122132,1263
2011-01-12,0.11816899999999995,0.304627,1162
2011-01-13,-0.2449999999999992,0.301,1406
2011-01-14,-0.43910999999999945,0.126548,1421
2011-01-15,2.966650999999999,0.15796300000000002,1248
2011-01-16,2.8883490000000003,0.188433,1204
2011-01-17,0.264151,0.194017,1000
2011-01-18,2.183349,0.146775,683
2011-01-19,5.732177999999998,0.208317,1650
2011-01-20,4.298349,0.195904,1927
2011-01-21,0.34249999999999936,0.353242,1543
2011-01-22,-5.2208712,0.17197,981
2011-01-23,-3.4634801,0.2466,986
2011-01-24,-3.4226089,0.15833,1416
2011-01-25,2.5034660000000013,0.129796,1985
2011-01-26,2.2225,0.29385,506
2011-01-27,1.1650000000000011,0.113837,431
2011-01-28,1.563466,0.1233,1167
2011-01-29,1.236534000000001,0.14536500000000002,1098
2011-01-30,2.176534,0.0739826,1096
2011-01-31,0.4991509999999994,0.187192,1501
2011-02-01,1.032178,0.053213,1360
2011-02-02,4.2200000000000015,0.264308,1526
2011-02-03,0.7869789999999988,0.277752,1550
2011-02-04,1.9312880000000003,0.127839,1708
2011-02-05,2.966650999999999,0.161079,1005
2011-02-06,5.434151,0.1418,1623
2011-02-07,4.768348999999999,0.045408300000000006,1712
2011-02-08,2.379151,0.36195,1530
2011-02-09,-1.6651990000000003,0.188839,1605
2011-02-10,-1.2156440000000002,0.221935,1538
2011-02-11,0.8872770000000011,0.10855,1746
2011-02-12,2.4575,0.203367,1472
2011-02-13,6.876534,0.260883,1589
2011-02-14,11.505,0.417908,1913
2011-02-15,4.5060889999999985,0.291374,1815
2011-02-16,6.958267000000001,0.251791,2115
2011-02-17,12.484150999999995,0.230104,2475
2011-02-18,16.518349,0.264925,2927
2011-02-19,10.760849,0.507463,1635
2011-02-20,5.405199,0.223235,1812
2011-02-21,6.2566510000000015,0.307846,1107
2011-02-22,0.5644340000000003,0.195683,1450
2011-02-23,2.421733,0.094113,1917
2011-02-24,5.895644000000001,0.250496,1807
2011-02-25,9.124356,0.346539,1461
2011-02-26,5.277499999999998,0.186571,1969
2011-02-27,8.143466,0.125248,2402
2011-02-28,11.141831,0.289686,1446
2011-03-01,4.5333489999999985,0.216425,1851
2011-03-02,7.745000000000001,0.307833,2134
2011-03-03,1.3216509999999992,0.225754,1685
2011-03-04,4.298349,0.203346,1944
2011-03-05,10.055848999999998,0.251871,2077
2011-03-06,9.696534,0.343287,605
2011-03-07,4.3017330000000005,0.341352,1872
2011-03-08,5.747499999999999,0.12065,2133
2011-03-09,5.9041510000000015,0.22015,1891
2011-03-10,10.287277,0.261877,623
2011-03-11,6.876534,0.23297,1977
2011-03-12,7.4708489999999985,0.220775,2132
2011-03-13,10.064356,0.270604,2417
2011-03-14,7.285199000000002,0.136926,2046
2011-03-15,6.9173769999999974,0.184309,2056
2011-03-16,9.165199,0.203117,2192
2011-03-17,11.505,0.209579,2744
2011-03-18,17.380000000000006,0.231017,3239
2011-03-19,14.2075,0.368167,3117
2011-03-20,7.627500000000001,0.207721,2471
2011-03-21,12.230445,0.288783,2077
2011-03-22,12.758349000000004,0.22575,2703
2011-03-23,8.306979000000002,0.234261,2121
2011-03-24,5.395,0.243787,1865
2011-03-25,4.415849,0.230725,2210
2011-03-26,4.494150999999999,0.209571,2496
2011-03-27,3.893020999999997,0.1843,1693
2011-03-28,4.424356000000001,0.212204,2028
2011-03-29,6.2174999999999985,0.226996,2425
2011-03-30,6.1,0.172888,1536
2011-03-31,4.611651,0.217646,1685
2011-04-01,6.1,0.258708,2227
2011-04-02,6.805,0.197146,2252
2011-04-03,9.781651,0.182213,3249
2011-04-04,18.946651,0.385571,3115
2011-04-05,11.465849,0.388067,1795
2011-04-06,10.369151,0.263063,2808
2011-04-07,12.5625,0.16231199999999998,3141
2011-04-08,7.784151,0.226992,1471
2011-04-09,8.0975,0.13308299999999998,2455
2011-04-10,12.053349,0.146767,2895
2011-04-11,19.995644,0.324474,3348
2011-04-12,15.617499999999994,0.274879,2034
2011-04-13,11.3875,0.25061700000000003,2162
2011-04-14,13.9725,0.1107,3267
2011-04-15,12.993348999999998,0.226375,3126
2011-04-16,12.249150999999998,0.340808,795
2011-04-17,13.463349,0.303496,3744
2011-04-18,16.0875,0.16356700000000002,3429
2011-04-19,15.774151000000002,0.157971,3204
2011-04-20,19.965,0.241925,3944
2011-04-21,13.580848999999999,0.325258,4189
2011-04-22,7.823349,0.219521,1683
2011-04-23,13.62,0.230725,4036
2011-04-24,19.338348999999997,0.192175,4191
2011-04-25,20.513349,0.185333,4073
2011-04-26,21.688349,0.3265,4400
2011-04-27,21.14,0.3122,3872
2011-04-28,21.0225,0.320908,4058
2011-04-29,15.97,0.240063,4595
2011-04-30,14.2075,0.235075,5312
2011-05-01,13.228348999999998,0.106354,3351
2011-05-02,17.810848999999994,0.183454,4401
2011-05-03,20.983349,0.342667,4451
2011-05-04,11.465849,0.328996,2633
2011-05-05,13.580848999999999,0.295392,4433
2011-05-06,14.520849000000002,0.228246,4608
2011-05-07,16.44,0.16045,4714
2011-05-08,16.831650999999994,0.0746375,4333
2011-05-09,17.0275,0.17600000000000002,4362
2011-05-10,17.0275,0.115671,4803
2011-05-11,17.4975,0.120642,4182
2011-05-12,17.145000000000003,0.189667,4864
2011-05-13,16.0875,0.179725,4105
2011-05-14,16.479150999999998,0.13495,3409
2011-05-15,18.4375,0.152979,4553
2011-05-16,19.1425,0.126871,3958
2011-05-17,18.398349,0.277354,4123
2011-05-18,17.85,0.201492,3855
2011-05-19,16.949151,0.10821300000000003,4575
2011-05-20,17.223349,0.125013,4917
2011-05-21,20.317500000000006,0.12065,5805
2011-05-22,20.395849,0.148008,4660
2011-05-23,21.688349,0.233842,4274
2011-05-24,23.020000000000003,0.207092,4492
2011-05-25,23.059151,0.15423299999999998,4978
2011-05-26,25.291651,0.199642,4677
2011-05-27,24.038349000000004,0.240679,4679
2011-05-28,22.824151,0.230092,4758
2011-05-29,23.3725,0.213938,4788
2011-05-30,26.466651000000002,0.131225,4098
2011-05-31,28.425000000000004,0.111329,3982
2011-06-01,27.915848999999998,0.207092,3974
2011-06-02,25.605,0.292287,4968
2011-06-03,21.14,0.253121,5312
2011-06-04,21.845,0.123142,5342
2011-06-05,22.471651,0.138692,4906
2011-06-06,23.881651,0.121896,4548
2011-06-07,25.2525,0.187808,4833
2011-06-08,28.464151,0.136817,4401
2011-06-09,29.991651,0.149883,3915
2011-06-10,27.485,0.14055399999999998,4586
2011-06-11,26.075,0.15485,4966
2011-06-12,24.5475,0.16356700000000002,4460
2011-06-13,21.845,0.30535,5020
2011-06-14,20.395849,0.269283,4891
2011-06-15,21.453349,0.16791199999999998,5180
2011-06-16,21.531651,0.206471,3767
2011-06-17,22.510849000000004,0.143029,4844
2011-06-18,24.743349,0.119408,5119
2011-06-19,24.860848999999998,0.102,4744
2011-06-20,21.845,0.155475,4010
2011-06-21,23.999151,0.171025,4835
2011-06-22,26.466651000000002,0.172262,4507
2011-06-23,26.231651,0.238804,4790
2011-06-24,26.035849,0.222025,4991
2011-06-25,24.665,0.209571,5202
2011-06-26,23.96,0.0945333,5305
2011-06-27,24.0775,0.10758800000000003,4708
2011-06-28,26.975849000000004,0.144283,4648
2011-06-29,26.231651,0.261821,5225
2011-06-30,24.743349,0.185312,5515
2011-07-01,25.957500000000003,0.102608,5362
2011-07-02,26.701651000000002,0.11506199999999997,5119
2011-07-03,25.683349,0.228858,4649
2011-07-04,26.153349,0.08147919999999999,6043
2011-07-05,27.093349,0.12625799999999998,4665
2011-07-06,25.84,0.149883,4629
2011-07-07,27.25,0.1592,4592
2011-07-08,25.330849,0.225129,4040
2011-07-09,26.466651000000002,0.16791199999999998,5336
2011-07-10,27.1325,0.183471,4881
2011-07-11,27.8375,0.282337,4086
2011-07-12,29.325849,0.200254,4258
2011-07-13,27.093349,0.146133,4342
2011-07-14,23.999151,0.240667,5084
2011-07-15,23.176651,0.182833,5538
2011-07-16,24.273349000000003,0.208342,5923
2011-07-17,25.800849,0.245033,5302
2011-07-18,27.093349,0.215804,4458
2011-07-19,28.503349,0.1306,4541
2011-07-20,28.111651,0.113817,4332
2011-07-21,30.305,0.222021,3784
2011-07-22,31.871651,0.1331,3387
2011-07-23,31.910849,0.131221,3285
